75,266,246
62,270,189
66,271,204
64,274,195
67,275,206
69,279,217
81,280,272
74,285,241
83,281,286
66,202,201
16,91,127
82,279,276
71,223,222
23,128,100
19,223,162
30,109,131
6,232,104
73,234,233
11,133,84
66,203,202
43,133,173
58,170,171
66,205,203
14,89,159
50,150,151
2,88,175
17,152,127
21,98,129
23,101,128
57,169,165
57,165,166
20,135,96
57,166,167
37,132,118
69,215,214
51,158,154
74,241,238
51,154,155
6,105,238
29,143,107
12,86,138
76,248,247
60,183,179
60,179,180
82,278,277
34,207,114
35,147,115
36,132,180
10,196,190
58,174,172
33,215,145
76,251,248
50,153,164
44,262,243
25,103,136
77,254,252
42,141,124
44,281,193
31,156,131
32,112,144
38,120,148
39,227,149
50,152,153
18,94,161
51,156,157
51,157,158
45,186,177
70,219,220
10,123,196
77,255,253
40,228,121
27,106,210
52,258,187
54,240,213
77,253,254
50,164,150
57,167,168
57,168,169
58,172,173
58,171,174
45,177,163
14,159,176
60,181,182
60,182,183
78,258,259
54,282,240
75,246,244
80,271,267
65,197,198
79,265,263
67,207,208
83,286,283
80,270,268
65,199,200
2,175,267
53,199,204
72,231,229
81,275,273
28,142,211
69,218,216
81,274,280
69,217,218
73,237,234
61,185,236
45,163,224
4,219,222
76,250,249
72,230,231
61,236,184
52,221,235
83,282,284
68,242,210
53,188,244
79,263,264
76,247,250
76,249,251
77,256,255
45,224,252
75,245,261
44,243,257
44,193,262
79,264,266
80,269,270
80,268,271
81,273,274
81,272,275
82,277,279
82,276,280
83,283,285
44,257,281
201,202,87
127,91,92
276,279,214
222,223,95
100,128,99
162,223,225
131,109,110
104,232,233
233,234,137
84,133,126
202,203,139
173,133,170
171,170,85
203,205,198
159,89,160
151,150,90
175,88,176
127,152,151
129,98,130
128,101,130
165,169,135
166,165,97
96,135,134
167,166,129
118,132,117
214,215,113
154,158,143
238,241,184
155,154,108
238,105,239
107,143,142
138,86,139
247,248,122
179,183,147
180,179,116
277,278,194
114,207,206
115,147,146
180,132,181
190,196,200
172,174,141
145,215,216
248,251,228
164,153,161
243,262,266
136,103,137
252,254,186
124,141,140
193,281,284
131,156,155
144,112,145
148,120,149
149,227,229
153,152,93
161,94,162
157,156,111
158,157,144
177,186,189
220,219,134
196,123,197
253,255,221
121,228,227
210,106,211
187,258,260
213,240,242
254,253,187
150,164,160
168,167,102
169,168,136
173,172,125
174,171,138
163,177,178
176,159,178
182,181,119
183,182,148
259,258,185
240,282,285
244,246,191
267,271,201
198,197,140
263,265,195
208,207,146
283,286,259
268,270,188
200,199,191
267,175,269
204,199,205
229,231,208
273,275,209
211,142,212
216,218,212
280,274,278
218,217,213
234,237,220
236,185,235
224,163,225
222,219,226
249,250,192
231,230,209
184,236,232
235,221,237
284,282,194
210,242,239
244,188,245
264,263,192
250,247,190
251,249,230
255,256,226
252,224,256
261,245,260
257,243,261
262,193,265
266,264,246
270,269,189
271,268,204
274,273,195
275,272,206
279,277,217
280,276,272
285,283,241
281,257,286
